1,"remove_member","projects","team","w","Remove Member","Remove a member from the project team. Some content created by that user will be transferred to the project owner, while others such as comments will be anonymised.","unassign remove delete team member","You're not allowed to remove team members from this project.","2017-01-29 17:46:38"
2,"edit_member","projects","team","w","Edit Member","Edit a team member's access rights to the project.","edit change update team member permissions","You're not allowed to modify access rights for team members on this project.","2017-01-29 17:49:29"
3,"add_member","projects","team","w","Add Member","Add a member to the team, from people in the organisation.","assign add team member","You're not allowed to add team members to this project.","2017-01-29 17:49:17"
4,"view_members","projects","team","r","View Members","View a list of team members on a project.","view list team members","You're not allowed to view team members on this project.","2017-01-29 17:50:56"
5,"view_properties","projects","projects","r","View Project Properties","View project properties on the dashboard.","view dashboard properties project","You're not allowed to view properties on this project's dashboard.","2017-01-29 17:51:56"
6,"view_all_activities","projects","projects","r","View All Activities","View project activity that was generated by someone else.","view project dashboard activity activities feed","You're not allowed to view activities on this project that were not generated by you.","2017-01-29 17:53:17"
7,"view_activities","projects","projects","r","View Activities","View activities on the project dashboard.","view project dashboard activity activities feed","You're not allowed to view activities on the project dashboard.","2017-01-29 18:07:12"
8,"view_dashboard","projects","projects","r","View Project Dashboard","View the project dashboard. Permissions to view activity feed and project properties are separate.","view project dashboard","You're not allowed to view the project dashboard.","2017-01-29 18:07:22"
9,"view_details","projects","projects","r","View Project Details","View project details. If the user doesn't have permission to update, the page will be read-only.","view project details information","You're not allowed to view project details.","2017-01-29 18:07:44"
10,"update_project","projects","projects","w","Update Project Details","Update project details, including title, description, type, etc.","edit update change project details","You're not allowed to update project details.","2017-01-29 18:07:46"
11,"remove_person","organisation","people","w","Remove a Person","Remove a person from the organisation.","delete remove person","You're not allowed to remove a person from this organisation.","2017-01-29 21:25:04"
12,"update_person","organisation","people","w","Update a Person","Update information for a person in the organisation.","update edit change person","You're not allowed update a person in the organisation.","2017-01-29 21:25:07"
13,"create_person","organisation","people","w","Invite a Person","Add a person to the organisation.","add new create person organisation","You're not allowed to create a person in this organisation.","2017-01-29 21:25:11"
14,"view_people","organisation","people","r","View People","View people in the organisation.","view list organisation people","You're not allowed to view people in this organisation.","2017-01-29 21:25:15"
15,"own_projects","organisation","projects","w","Own Projects","Own projects through creation or transfer. Every project must have at least one owner.","own project","You're not allowed to own projects.","2017-01-29 21:25:18"
16,"create_project","organisation","projects","w","Create Projects","Create a new project.","create add new project","You're not allowed to create projects.","2017-01-29 21:25:21"
17,"view_projects","organisation","projects","r","View Projects","View a list of projects in the organisation.","view project list","You're not allowed to view projects in this organisation.","2017-01-29 21:25:24"
18,"update_member_restrictions","projects","team","w","Update Member's Restrictions","Update restricted access settings for a member.","update change edit modify member restrictions team","You're not allowed to change restriction access for team members on this project.","2017-01-29 20:36:48"
19,"view_member_restrictions","projects","team","r","View Member's Restrictions","View restricted access settings for a member.","view member restrictions team","You're not allowed to view restriction access settings for team members on this project.","2017-01-29 20:36:18"
20,"update_member_overrides","projects","team","w","Update Member's Overrides","Update permission override settings for a member.","update modify change edit member permissions overrides team","You're not allowed to change override access for team members on this project.","2017-01-29 20:36:09"
21,"view_member_overrides","projects","team","r","View Member's Overrides","View permission override settings for a member.","view member permissions overrides team","You're not allowed to view override access settings for team members on this project.","2017-01-29 20:35:56"
22,"update_member_roles","projects","team","w","Update Member's Roles","Update roles for a team member.","update change edit modify member role team","You're not allowed to change roles for team members on this project.","2017-01-29 20:35:41"
23,"view_member_roles","projects","team","r","View Member's Roles","View roles for a team member.","view team member roles","You're not allowed to view roles in this project.","2017-01-29 20:35:30"
24,"view_member","projects","team","r","View Member","View a team member.","view team member","You're not allowed to view team members on this project.","2017-01-29 20:34:56"
25,"update_member","projects","team","w","Update Member","Update a team member.","update edit modify change team member","You're not allowed to change access settings for team members on this project.","2017-01-29 20:34:13"
26,"update_role_permissions","projects","team","w","Update Roles","Update permissions for a role in the project team.","change edit update modify team role","You're not allowed to change permissions for team members on this project.","2017-01-29 20:33:34"
27,"view_role_permissions","projects","team","r","View Role Permissions","View permissions on a role in the project team.","view role permission access team","You're not allowed to view permissions for team members on this project.","2017-01-29 20:33:18"
28,"view_role","projects","team","r","View Role","View the information on a role in the project team.","view role team","You're not allowed to view roles for team members on this project.","2017-01-29 20:33:06"
29,"update_role","projects","team","w","Update Roles","Update the information on a project role.","update change edit role team","You're not allowed to change roles for team members on this project.","2017-01-29 20:32:57"
30,"create_role","projects","team","w","Create Roles","Create a project role.","create add new role team","You're not allowed to create roles for team members on this project.","2017-01-29 20:32:40"
31,"new_role","projects","team","w","Create Roles","Create a project role.","create add new role team","You're not allowed to create roles for team members on this project.","2017-01-29 20:32:09"
32,"view_roles","projects","team","r","View Roles","View roles created in a project team.","view member roles","You're not allowed to view roles for team members on this project.","2017-01-29 20:31:52"
35,"view_all_projects","organisation","projects","r","View All Projects","View projects in the organisation created by others.","view project list","You're not allowed to view projects in this organisation that were created by others.","2017-01-29 21:25:33"
36,"exclusive_access","projects",NULL,NULL,"Exclusive Access","Exclusive access to project and its constituents. Please note permission restrictions may still override this permission.","administrator exclusive full access?","You do not have enough permissions.",NULL
